**Header1 Sampling Parameters**
TraceFile	C:\Guilherme\Medida 1112_1530_1_cdifusor.dat
Comment	
Date	1/1/2015
Time	04:12:37
File Created By	CDI Spec32.exe
Software Version	1,7,2,2
Username	LAS
Computername	NOTE-CESAR
DeviceNum	0	
SerialNo	SNAB0829	
SetupFile	C:\CDI32\SETUP _63355_FIB2_COMDIF.stp
BoardDegC	45.6988	
ArrayDegC	8.19174	
TECA	0.473633	
ExtV	-5.87592	
DacOffset	93171.9	
IntTime	0.499973	
Processing	none	
CalUnits	uwatts / cm² / nm	
TrigMode	TM_SynchRead	
SampleAvg	1	
Scans Averaged	1	
WaveUnits	nm	
WaveStart	899	
WaveEnd	1703.35	
WaveStep	1	
**HeaderEnd**
1397	0.2663805	
1398	0.2627028	
1399	0.259025	
1400	0.2553473	
1401	0.2516696	
1402	0.2517175	
1403	0.2524025	
1404	0.2530873	
1405	0.2537723	
1406	0.2544572	
1407	0.2551421	
1408	0.2586517	
1409	0.2646464	
1410	0.2706412	
1411	0.2766359	
1412	0.2826306	
1413	0.2886254	
1414	0.2952808	
1415	0.3043913	
1416	0.3135018	
1417	0.3226124	
1418	0.3317229	
1419	0.3408334	
1420	0.349944	
1421	0.3751549	
1422	0.402296	
1423	0.4294372	
1424	0.4565783	
1425	0.4837195	
1426	0.5108606	
1427	0.5347325	
1428	0.5561778	
1429	0.5776231	
1430	0.5990685	
1431	0.6205137	
1432	0.6419591	
1433	0.6590136	
1434	0.6633715	
1435	0.6677294	
1436	0.6720873	
1437	0.6764451	
1438	0.6808029	
1439	0.6851608
