Comprimento de Onda	IRR REAL 2
323,6425674	0,9961695692
323,8543971	1,002008865
324,0662429	1,007848604
324,2781047	1,013688784
324,4899827	1,019529411
324,7018767	1,025370479
324,9137869	1,031211993
325,1257131	1,037053949
325,3376554	1,042896348
325,5496137	1,048739188
325,7615882	1,054582475
325,9735787	1,060426203
326,1855852	1,066270372
326,3976078	1,072114985
326,6096465	1,077960042
326,8217012	1,083805539
327,033772	1,089651481
327,2458588	1,095497863
327,4579616	1,101344687
327,6700805	1,107662069
327,8822154	1,114932821
328,0943663	1,122204122
328,3065332	1,129475971
328,5187162	1,136748372
328,7309151	1,144021318
328,9431301	1,151294816
329,1553611	1,158568863
329,3676081	1,165843457
329,579871	1,173118597
329,79215	1,180394288
330,004445	1,187670528
330,2167559	1,194947313
330,4290828	1,202224646
330,6414257	1,209502528
330,8537846	1,216780958
331,0661594	1,224059932
331,2785502	1,231339456
331,4909569	1,238619524
331,7033797	1,245900144
331,9158183	1,253181306
332,1282729	1,260463016
332,3407435	1,267745274
332,55323	1,275028077
332,7657324	1,282311426
332,9782507	1,289595319
333,190785	1,29687976
333,4033352	1,304164747
333,6159013	1,311450279
333,8284834	1,318736359
334,0410813	1,32602298
334,2536952	1,33331015
334,4663249	1,340597861
334,6789706	1,347886121
334,8916321	1,355174922
335,1043096	1,362464272
335,3170029	1,369754163
335,5297121	1,377044599
335,7424372	1,384335581
335,9551781	1,391627103
336,167935	1,398919174
336,3807077	1,406211787
336,5934962	1,413504941
336,8063006	1,42079864
337,0191209	1,428092884
337,231957	1,43538767
337,444809	1,442683
337,6576768	1,449978872
337,8705604	1,457275286
338,0834599	1,464572245
338,2963752	1,471869745
338,5093063	1,479167786
338,7222533	1,486629792
338,935216	1,495492825
339,1481946	1,50435652
339,361189	1,513220873
339,5741992	1,522085883
339,7872252	1,530951551
340,000267	1,539817876
340,2133245	1,548684855
340,4263979	1,557552495
340,6394871	1,566420793
340,852592	1,575289745
341,0657127	1,584159354
341,2788492	1,59302962
341,4920015	1,601900544
341,7051695	1,610772122
341,9183533	1,619644357
342,1315528	1,628517245
342,3447681	1,637390791
342,5579991	1,646264991
342,7712459	1,655139848
342,9845084	1,664015358
343,1977867	1,672891526
343,4110807	1,681768347
343,6243904	1,690645822
343,8377158	1,69952395
344,051057	1,708402736
344,2644139	1,717282175
344,4777864	1,726162263
344,6911747	1,735043009
344,9045787	1,743924408
345,1179984	1,752806461
345,3314338	1,761689167
345,5448849	1,770572527
345,7583517	1,77945654
345,9718341	1,788341202
346,1853323	1,797226521
346,3988461	1,80611249
346,6123755	1,814999108
346,8259207	1,823886384
347,0394815	1,832774309
347,253058	1,841662887
347,4666501	1,850552115
347,6802579	1,859441996
347,8938813	1,868332526
348,1075203	1,877223706
348,321175	1,886115538
348,5348454	1,895008025
348,7485313	1,903901156
348,9622329	1,912794941
349,1759501	1,921689375
349,389683	1,930584462
349,6034314	1,939480195
349,8171955	1,948519512
350,0309751	1,959193509
350,2447704	1,96986829
350,4585813	1,98054385
350,6724077	1,991220184
350,8862498	2,001897301
351,1001074	2,012575193
351,3139806	2,023253864
351,5278694	2,033933313
351,7417738	2,044613542
351,9556937	2,055294544
352,1696292	2,065976325
352,3835803	2,076658885
352,5975469	2,087342219
352,8115291	2,098026332
353,0255268	2,108711219
353,23954	2,11939688
353,4535688	2,130083319
353,6676132	2,140770538
353,8816731	2,15145853
354,0957485	2,162147297
354,3098394	2,172836837
354,5239459	2,183527156
354,7380678	2,194218244
354,9522053	2,204910111
355,1663583	2,215602752
355,3805268	2,226296167
355,5947108	2,236990356
355,8089103	2,247685319
356,0231253	2,258381055
356,2373557	2,269077561
356,4516017	2,279774845
356,6658631	2,290472899
356,88014	2,301171726
357,0944324	2,311871327
357,3087403	2,322571702
